Pathogen_ID,Pathogen_Name,Pathogen_Category,Transmission_Mode,Curable_Status,Baseline_Receptive_Anal_Pct,Baseline_Insertive_Anal_Pct,Baseline_Receptive_Vaginal_Pct,Baseline_Insertive_Vaginal_Pct,Baseline_Oral_Pct,Baseline_Skin_Contact_Pct,Condom_Perfect_Use_Efficacy_Pct,Condom_Typical_Use_Efficacy_Pct,Condom_Breakage_Rate_Pct,Condom_Slippage_Rate_Pct,Risk_With_Condoms_Perfect_Use_Pct,Risk_With_Condoms_Typical_Use_Pct,Risk_With_PrEP_or_UU_Pct,Risk_With_Doxy_PEP_Pct,Risk_With_Vaccine_Pct,SF_Annual_Trend,SF_High_Risk_Group,Extragenital_Predominance_Pct,Vaccine_Available,Doxy_PEP_Efficacy,Diagnostic_Method,Testing_Cadence_High_Risk,Primary_Treatment,Failure_Mitigation_Strategy
11,Hepatitis A Virus (HAV),Picornavirus,Fecal-Oral / Rimming,Preventable / Self-Limiting,50.000,50.000,10.000,10.000,60.000,0.000,90.00,70.00,2.50,1.80,5.000,15.000,50.000,50.000,0.000,Sporadic Outbreaks,MSM / Rimming / Travelers,0,Havrix / Vaqta,None,Anti-HAV IgM,Screen Once / Vax,Havrix Vaccine / Supportive,Havrix vaccine or Immune Globulin within 14 days of exposure
12,Trichomonas vaginalis,Flagellated Protozoan,Genital Fluid Exchange,Curable (Metronidazole),10.000,5.000,65.000,20.000,1.000,0.000,95.00,85.00,2.50,1.80,3.250,9.750,65.000,65.000,65.000,Moderate,Cisgender Women / MSM,0,None,None,Vaginal/Urine NAAT / Wet Mount,Annual / Symptom,Metronidazole 500mg BID x 7d,Prompt partner notification and re-testing at 3 months
13,Mpox Virus (Clade IIb),Poxvirus,Direct Skin Contact / Lesion,Preventable / Treatable,80.000,80.000,80.000,80.000,60.000,80.000,60.00,40.00,2.50,1.80,32.000,48.000,80.000,80.000,12.000,Low Post-Vax,MSM / Kink / Party-Play,40,JYNNEOS,None,Lesion PCR Swab,Symptom / Post-Exposure,JYNNEOS Vaccine / Tecovirimat,JYNNEOS post-exposure vaccine within 4-14 days of exposure
14,Epstein-Barr Virus (EBV / Mono),Gammaherpesvirus,Saliva ("Kissing Disease"),Supportive Care,5.000,5.000,5.000,5.000,80.000,10.000,30.00,20.00,2.50,1.80,3.500,4.000,5.000,5.000,5.000,High Baseline,Youth / General,80,None,None,Heterophile Ab (Monospot) / VCA,Symptom-Based,Supportive Care / Rest,Avoid sharing drinks/oral contact during acute infection
15,Cytomegalovirus (CMV),Betaherpesvirus,Saliva / Semen / Fluids,Supportive Care,15.000,15.000,15.000,15.000,30.000,10.000,70.00,50.00,2.50,1.80,4.500,7.500,15.000,15.000,15.000,High Baseline,MSM / Immunocompromised,30,None,None,CMV Serology / PCR,Symptom-Based,Ganciclovir (Severe) / Supportive,Barrier protection and hygiene around bodily fluids
16,Mycoplasma genitalium (Mgen),Wall-less Bacteria,Genital Mucosal Exchange,Curable (Resist-Guided),25.000,15.000,25.000,15.000,5.000,0.000,95.00,85.00,2.50,1.80,1.250,3.750,25.000,15.000,25.000,Increasing,MSM / Recurrent NGU,50,None,Low-Moderate,Urine / Swab NAAT w/ Resistance,Symptom / Recurrent,Doxycycline 7d -> Moxifloxacin 7d,Resistance-guided macrolide/fluoroquinolone therapy
17,Ureaplasma urealyticum,Wall-less Bacteria,Mucosal Fluid Exchange,Curable (Antibiotics),15.000,10.000,20.000,10.000,5.000,0.000,95.00,85.00,2.50,1.80,1.000,3.000,15.000,3.000,15.000,Moderate,General / MSM,20,None,Moderate,Culture / NAAT,Symptom-Based,Doxycycline or Azithromycin,Doxycycline regimen for both index patient and partner
18,Bacterial Vaginosis (BV),Polymicrobial Dysbiosis,Microbiome Disruption,Treatable (Antibiotics),0.000,0.000,40.000,0.000,5.000,0.000,75.00,60.00,2.50,1.80,10.000,16.000,40.000,40.000,40.000,High Baseline,WSW / Cis Women,0,None,None,Amsel Criteria / Nugent Gram Stain,Symptom-Based,Metronidazole 500mg BID x 7d,Dental dam / condom use during toy share / probiotic therapy
19,Candidiasis (Candida albicans),Fungal Organism,Flora Disruption / Contact,Curable (Antifungals),0.000,0.000,30.000,5.000,2.000,0.000,70.00,50.00,2.50,1.80,9.000,15.000,30.000,30.000,30.000,High Baseline,Cis Women / Diabetics,0,None,None,Wet Mount (KOH) / Culture,Symptom-Based,Fluconazole 150mg Single Dose,Topical azoles / Single dose oral Fluconazole
20,Molluscum Contagiosum (MCV),Poxvirus,Direct Skin Contact,Curable / Self-Limiting,10.000,10.000,10.000,10.000,5.000,30.000,60.00,40.00,2.50,1.80,4.000,6.000,10.000,10.000,10.000,Moderate,General / Kink / Contact,0,None,None,Clinical Visual Inspection,Symptom-Based,Cryotherapy / Cantharidin,Cover active papules with liquid bandage / hydrocolloid patch
21,Pubic Lice (Pthirus pubis),Ectoparasitic Insect,Direct Hair/Skin Contact,Curable (Pediculicide),50.000,50.000,50.000,50.000,30.000,70.000,20.00,10.00,2.50,1.80,40.000,45.000,50.000,50.000,50.000,Low-Moderate,General / Close Body Contact,0,None,None,Visual Dermoscopy,Symptom-Based,Permethrin 1% Cream Rinse,Hot water wash of bedding (>130F) + Permethrin treatment
22,Scabies (Sarcoptes scabiei),Ectoparasitic Mite,Prolonged Skin Contact,Curable (Scabicide),60.000,60.000,60.000,60.000,40.000,80.000,20.00,10.00,2.50,1.80,48.000,54.000,60.000,60.000,60.000,Low-Moderate,General / Congregate / Kink,0,None,None,Skin Scraping Microscopy,Symptom-Based,Permethrin 5% Cream / Ivermectin,Simultaneous household/partner treatment with Permethrin 5%
23,Lymphogranuloma Venereum (LGV),Invasive Bacterium,Mucosal Contact (Rectal),Curable (Doxycycline),40.000,20.000,15.000,10.000,5.000,0.000,95.00,85.00,2.50,1.80,2.000,6.000,40.000,4.000,40.000,Low Baseline,MSM / HIV+ / Rectal Play,90,None,High (~88%),Chlamydia Genotype NAAT,Symptom / Proctitis,Doxycycline 100mg BID x 21d,Immediate 21-day Doxycycline course if exposed to LGV proctitis
24,Shigella sonnei / flexneri,Enteric Bacteria,Fecal-Oral / Rimming,Curable (Targeted Abx),60.000,60.000,10.000,10.000,70.000,0.000,90.00,70.00,2.50,1.80,6.000,18.000,60.000,60.000,60.000,Outbreak-Prone,MSM / Rimming / Scat / Kink,0,None,None,Stool Culture & AMR Panel,Symptom / Diarrhea,Azithromycin / Ciprofloxacin (Guided),Dental dam use / Hand hygiene with soap & water (alcohol ineffective)
25,Giardia lamblia,Enteric Protozoan,Fecal-Oral / Rimming,Curable (Metronidazole),50.000,50.000,10.000,10.000,60.000,0.000,90.00,70.00,2.50,1.80,5.000,15.000,50.000,50.000,50.000,Moderate,MSM / Rimming,0,None,None,Stool Ova & Parasite / Ag EIA,Symptom / Gas,Metronidazole 250mg TID x 5-7d,Dental dam for oral-anal play / Metronidazole therapy
26,Entamoeba histolytica (Amebiasis),Enteric Amoeba,Fecal-Oral / Oral-Anal,Curable (Metronidazole),40.000,40.000,10.000,10.000,50.000,0.000,90.00,70.00,2.50,1.80,4.000,12.000,40.000,40.000,40.000,Low-Moderate,MSM / Oral-Anal,0,None,None,Stool PCR / EIA,Symptom / Dysentery,Metronidazole -> Paromomycin,Sequential Metronidazole + Paromomycin (luminal amebicide)
27,Campylobacter jejuni / coli,Enteric Bacteria,Fecal-Oral / Oral-Anal,Curable (Antibiotics),40.000,40.000,10.000,10.000,50.000,0.000,90.00,70.00,2.50,1.80,4.000,12.000,40.000,40.000,40.000,Moderate,MSM / Oral-Anal,0,None,None,Stool Culture / NAAT,Symptom / Enteritis,Azithromycin 500mg QD x 3d,Dental dam / Azithromycin therapy for symptomatic patients
28,Chancroid (Haemophilus ducreyi),Fastidious Gram-neg Rod,Direct Ulcer Contact,Curable (Antibiotics),40.000,40.000,40.000,40.000,20.000,40.000,75.00,55.00,2.50,1.80,10.000,18.000,40.000,4.000,40.000,Extremely Rare US,Global / Sex Work,0,None,High (~88%),Culture / Special NAAT,Symptom / Painful Ulcer,Azithromycin 1g Oral Single Dose,Single dose Azithromycin 1g or Ceftriaxone 250mg IM
29,Granuloma Inguinale (Donovanosis),Klebsiella granulomatis,Direct Skin-to-Skin,Curable (Antibiotics),30.000,30.000,30.000,30.000,10.000,30.000,75.00,55.00,2.50,1.80,7.500,13.500,30.000,3.000,30.000,Extremely Rare US,Endemic Tropical Regions,0,None,High (~87%),Tissue Biopsy (Donovan Bodies),Symptom / Red Ulcer,Azithromycin 1g Weekly x 3 Weeks,Extended 3-week Azithromycin or Doxycycline regimen
30,HTLV-1 & HTLV-2,Retrovirus,Semen / Blood / Fluids,Treatable (Symptomatic),1.000,0.500,0.800,0.200,0.050,0.000,95.00,85.00,2.50,1.80,0.040,0.120,1.000,1.000,1.000,Rare US,Endemic / Blood / Semen,0,None,None,HTLV-1/2 Enzyme Immunoassay,Screening High Risk,Symptomatic / Antiretrovirals,Barrier protection / Avoid breastfeeding if infected
31,Zika Virus,Flavivirus,Semen / Fluids / Mosquito,Supportive Care,10.000,10.000,10.000,10.000,2.000,0.000,95.00,85.00,2.50,1.80,0.500,1.500,10.000,10.000,10.000,Travel-Related,Travelers / Semen Persistence,0,None,None,Zika RT-PCR (Semen/Serum),Travel / Symptom,Supportive Care (Barrier 6 mo),Consistent condom use for 6 months after travel/infection
32,Ebola Virus (Sexual Persistence),Filovirus,Semen Post-Recovery,Supportive / Monoclonal,50.000,50.000,50.000,50.000,10.000,0.000,95.00,85.00,2.50,1.80,2.500,7.500,50.000,50.000,50.000,Zero Local,Post-Ebola Recovery Male,0,Ervebo (Systemic),None,Semen RT-PCR,Convalescent Male,Monoclonal Antibodies / Abstinence,Condoms / abstinence until two semen PCR tests test negative
